Estado;Periodo de Cierre;Codigo de Contrato;Monto;Monto Solarizado;Monto Desembolsado;Monto Desembolsado Solarizado;Comision;Comision Solarizada;Plazo;Moneda;Tasa de Interes;Esquema;Riesgo;Provincia Propiedad;Distrito Propiedad;Tipo de Propiedad;Valuacion Propiedad;Valuacion en Soles;Total Ganado Esperado;Total Ganado;Numero de Reservaciones;Ratio (%);LTV;Safety Buffer;Fecha de Creacion;Fecha de Cierre;Dias de Cierre;Etapa del Negocio;Canal;Tipo de Fondo;Es Fast Track;Tipo de Cambio Contable;Flag Contrato Cerrado;Ratio Comision/Monto;Flag Alta Demanda;Ano;¿Aplica propuesta?;Marca_15_Mayo_Creacion;Marca_15_Mayo_Cierre;COMISION SD. NO FT PCT IDEAL;COMISION SD. NO FT PCT MIN;COMISION SD. NO FT MONTO IDEAL;COMISION SD. NO FT MONTO MIN;COMISION CD. NO FT MONTO IDEAL;COMISION CD. NO FT MONTO MIN;COMISION SD. SI FT PCT IDEAL;COMISION SD. SI FT PCT MIN;COMISION SD. SI FT MONTO IDEAL;COMISION SD. SI FT MONTO MIN;COMISION CD. SI FT MONTO IDEAL;COMISION CD. SI FT MONTO MIN;Es Caso en Seguimiento;Ratio_Comision_Real_Ideal;Dominios_Matematicos;Dominio_Final;Marca_25_abril_Creacion;Marca_25_abril_Cierre;AJUSTADA COMISION SD. NO FT MONTO IDEAL;Comision Final;Condicion Fuerte es Caso en Seguimiento
CONTRATO CERRADO / DESEMBOLSO;202602;P04733;60000,0;60000,0;62406,0;62406,0;2406,0;2406,0;60;PEN;2,9;Cuota Fija;Moderado Medio;SANTA;NUEVO CHIMBOTE;;89923,0;;62406,0;62406,0;;0,187566;0,187566;0,812434;2026-01-12 19:26:00;2026-02-16 22:46:32;35;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;True;3,384;SI;0,0401;;2026;False;No;No;0,25;0,225;15000,0;13500,0;17400,0;15600,0;0,275;0,245;16500,0;14700,0;18900,0;17100,000000000015;False;0,1604;Fuera de Rango;Fuera de Rango (FT);No;No;13500,0;;False
CONTRATO CERRADO / DESEMBOLSO;202601;P04653;100000,0;100000,0;116500,0;116500,0;16500,0;16500,0;72;PEN;1,48;Cuota Fija;Bajo Medio;LIMA;SURCO;departamento;352987,0;;116500,0;116500,0;;0,0892;0,0892;0,9108;2026-01-14 21:11:30;2026-01-29 22:39:27;15;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;True;3,384;SI;0,165;;2026;True;No;No;0,185;0,13999999999999999;18500,0;13999,999999999998;24500,000000000015;19500,0;0,195;0,15;19500,0;15000,0;25499,999999999985;20500,0;True;0,8918918918918919;D1, D3;D3;No;No;16650,0;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04761;700000,0;700000,0;752500,0;752500,0;52500,0;52500,0;84;PEN;1,9;Cuota Fija;Moderado;LIMA;CIENEGUILLA;casa;555764,0;;752500,0;752500,0;;0,365944;0,365944;0,634056;2026-01-16 19:38:51;2026-02-25 18:08:09;39;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,384;SI;0,075;;2026;True;No;No;0,075;0,06000000000000001;52500,0;42000,00000000001;66500,0;56000,0;0,08;0,065;56000,0;45500,0;70000,00000000012;59500,0;True;1,0;D1, D3;D1;No;No;47250,0;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04687;170000,0;170000,0;190400,0;190400,0;20400,0;20400,0;72;PEN;2,04;Cuota Fija;Moderado Medio;LIMA;JESUS MARIA;departamento;113562,0;;190400,0;190400,0;;0,45314;0,45314;0,54686;2026-01-16 16:58:23;2026-02-04 23:11:34;19;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,384;SI;0,12;;2026;True;No;No;0,12;0,09;20400,0;15300,0;26350,0;21250,0;0,125;0,095;21250,0;16150,0;27200,0;22099,99999999997;True;1,0;D1, D3;D1;No;No;18360,0;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04728;25000,0;25000,0;33000,0;33000,0;8000,0;8000,0;72;PEN;1,42;Cuota Fija;Medio;LIMA;MAGDALENA DEL MAR;departamento;78016,0;;33000,0;33000,0;;0,114322;0,114322;0,885678;2026-01-20 16:25:19;2026-02-19 14:16:08;29;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;True;3,384;SI;0,32;;2026;True;No;No;0,31999999999999995;0,3;7999,999999999999;7500,0;8750,0;8250,0;0,35000000000000003;0,33;8750,0;8250,0;9500,0;9000,0;True;1,0000000000000002;D1;Fuera de Rango (FT);No;No;7199,999999999999;;False
CONTRATO CERRADO / DESEMBOLSO;202603;P04814;185000,0;185000,0;187997,0;187997,0;2997,0;2997,0;60;PEN;3,34;Cuota Fija;Moderado Medio;SAN MARTIN;TARAPOTO;;141242,0;;187997,0;187997,0;;0,359737;0,359737;0,640263;2026-01-22 15:56:32;2026-03-16 23:01:22;53;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;False;3,346;SI;0,0162;;2026;False;No;No;0,125;0,095;23125,0;17575,0;30525,0;24049,99999999997;0,13;0,1;24050,0;18500,0;31450,0;24975,0;False;0,1296;Fuera de Rango;Fuera de Rango (No FT);No;No;20812,5;;False
CONTRATO CERRADO / DESEMBOLSO;202605;P04959;158331,6;535794,1344;159677,42;540348,38928;1345,82;4554,25488;72;USD;2,1;Cuota Fija;Bajo Medio;LIMA;RIMAC;;487287,0;;159677,42;159677,42;;0,327687;0,327687;0,6723129999999999;2026-01-22 19:50:07;2026-05-04 21:42:24;102;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;3,384;SI;0,008500008842202;;2026;False;No;No;0,075;0,06000000000000001;11874,87;9499,896000000002;18999,792000000016;15833,160000000003;0,08;0,065;12666,528;10291,554;19791,45000000001;16624,818;False;0,11333345122936081;Fuera de Rango;Fuera de Rango (No FT);No;Sí;10687,383000000002;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04770;25000,0;25000,0;32375,0;32375,0;7375,0;7375,0;48;PEN;2,03;Cuota Fija;Medio;TRUJILLO;TRUJILLO;casa;50365,0;;32375,0;32375,0;;0,173732;0,173732;0,826268;2026-01-26 19:36:25;2026-02-26 17:48:16;30;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,384;SI;0,295;;2026;True;No;No;0,295;0,275;7375,0;6875,000000000001;8125,0;7625,0;0,325;0,305;8125,0;7625,0;8875,0;8375,0;True;1,0;D1;D1;No;No;6637,5;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04712;150000,0;150000,0;152835,0;152835,0;2835,0;2835,0;60;PEN;2,82;Cuota Fija;Moderado;SANTA;NUEVO CHIMBOTE;casa;135043,0;;152835,0;152835,0;;0,305879;0,305879;0,694121;2026-01-27 16:19:33;2026-02-12 23:30:13;16;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;3,384;SI;0,0189;;2026;False;No;No;0,14;0,10500000000000001;21000,000000000004;15750,000000000002;24000,0;18750,0;0,145;0,11;21750,0;16500,0;24750,0;19499,99999999997;False;0,13499999999999998;Fuera de Rango;Fuera de Rango (No FT);No;No;18900,000000000004;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04747;150000,0;150000,0;153015,0;153015,0;3015,0;3015,0;48;PEN;2,45;Cuota Fija;Bajo;LIMA;SAN BORJA;;129305,0;;153015,0;153015,0;;0,319828;0,319828;0,680172;2026-01-28 02:35:35;2026-02-26 21:25:19;29;CONTRATO CERRADO / DESEMBOLSO;Presencial;Fondos privados;True;3,384;SI;0,0201;;2026;False;No;No;0,11500000000000002;0,09;17250,000000000004;13500,0;21750,0;17250,0;0,12;0,095;18000,0;14250,0;22500,0;18000,00000000003;False;0,17478260869565213;Fuera de Rango;Fuera de Rango (FT);No;No;15525,000000000004;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04741;600000,0;600000,0;604980,0;604980,0;4980,0;4980,0;60;PEN;2,41;Cuota Fija;Moderado;LIMA;VILLA MARIA DEL TRIUNFO;;452398,0;;604980,0;604980,0;;0,361425;0,361425;0,638575;2026-01-30 16:25:53;2026-02-23 14:20:26;23;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;3,346;SI;0,0083;;2026;False;No;No;0,075;0,06000000000000001;45000,0;36000,00000000001;54000,0;45000,0;0,08;0,065;48000,0;39000,0;57000,0;48000,0;False;0,11066666666666666;Fuera de Rango;Fuera de Rango (No FT);No;No;40500,0;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04724;61000,0;61000,0;75640,0;75640,0;14640,0;14640,0;36;PEN;2,09;Cuota Fija;Bajo Medio;LIMA;EL AGUSTINO;departamento;50022,0;;75640,0;75640,0;;0,408685;0,408685;0,591315;2026-01-30 23:29:53;2026-02-19 17:30:31;19;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,346;SI;0,24;;2026;True;No;No;0,24;0,215;14640,0;13115,0;17080,0;15250,0;0,255;0,23;15555,0;14030,0;17995,0;16165,000000000015;True;1,0;D1, D3;D1;No;No;13176,0;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04720;80000,0;80000,0;95600,0;95600,0;15600,0;15600,0;72;PEN;1,6;Cuota Fija;Moderado Medio;LIMA;CARABAYLLO;casa;99070,0;;95600,0;95600,0;;0,260804;0,260804;0,739196;2026-01-31 15:47:32;2026-02-17 13:59:02;16;CONTRATO CERRADO / DESEMBOLSO;Digital;Inversionista P2P;False;3,346;SI;0,195;;2026;True;No;No;0,21999999999999997;0,195;17599,999999999996;15600,0;20800,0;18400,0;0,23500000000000001;0,21;18800,0;16800,0;22000,0;19600,000000000015;True;0,8863636363636366;D1;D1;No;No;15839,999999999996;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04746;329751,24000000005;329751,24000000005;333444,46;333444,46;3693,22;3693,22;72;PEN;2,09;Cuota Fija;Bajo;LIMA;MIRAFLORES;;703623,0;;333444,46;333444,46;;0,12808;0,12808;0,87192;2026-02-03 22:20:39;2026-02-24 19:38:36;20;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;True;3,346;SI;0,0112000185351842;;2026;False;No;No;0,06000000000000001;0,045;19785,074400000005;14838,805800000002;31326,367800000007;26380,099200000055;0,065;0,05;21433,830600000005;16487,562;32975,12400000001;28028,8554;False;0,1866669755864046;Fuera de Rango;Fuera de Rango (FT);No;No;17806,566960000004;;False
CONTRATO CERRADO / DESEMBOLSO;202602;P04755;40000,0;40000,0;42308,0;42308,0;2308,0;2308,0;24;PEN;3,73;Cuota Fija;Bajo Medio;SANTA;NUEVO CHIMBOTE;departamento;33774,0;;42308,0;42308,0;;0,338562;0,338562;0,661438;2026-02-06 15:37:31;2026-02-27 23:17:12;21;CONTRATO CERRADO / DESEMBOLSO;Digital;Fondos privados;False;3,346;SI;0,0577;;2026;False;No;No;0,275;0,24500000000000002;11000,0;9800,000000000002;12200,0;10800,0;0,295;0,265;11800,0;10600,0;13000,0;11600,0;False;0,20981818181818182;Fuera de Rango;Fuera de Rango (No FT);No;No;9900,0;;False
